REAL - Entrada,REAL - Saída,tpv_usina,cum_avg
2021-01-06,2021-01-06 10:00:00,2.815,2.489
2021-01-06,2021-01-06 10:30:00,3.2600000000000002,2.5433333333333334
2021-01-06,2021-01-06 11:00:00,3.93125,2.6457142857142864
2021-01-06,2021-01-06 11:30:00,3.465,2.8064062499999998
2021-01-06,2021-01-06 12:00:00,2.25,2.879583333333333
2021-01-06,2021-01-06 12:30:00,2.782,2.816625
2021-01-06,2021-01-06 13:00:00,4.4425,2.8134772727272725
2021-01-06,2021-01-06 13:30:00,5.516666666666667,2.9492291666666666
2021-01-06,2021-01-06 14:00:00,3.168,3.1467243589743594
2021-01-06,2021-01-06 14:30:00,3.58,3.148244047619048
2021-01-06,2021-01-06 15:00:00,3.025,3.177027777777778
2021-01-06,2021-01-06 16:00:00,3.7649999999999997,3.1675260416666666
2021-01-06,2021-01-06 16:30:00,3.9633333333333334,3.202671568627451
2021-01-06,2021-01-06 17:00:00,4.98,3.2449305555555554
2021-01-06,2021-01-06 17:30:00,2.2271428571428573,3.3362499999999997
2021-01-06,2021-01-06 18:00:00,5.626666666666666,3.280794642857143
2021-01-06,2021-01-06 18:30:00,2.925,3.3925028344671206
2021-01-06,2021-01-06 19:00:00,3.8000000000000003,3.3712527056277057
2021-01-06,2021-01-06 19:30:00,2.745,3.389893892339544
2021-01-06,2021-01-06 20:00:00,3.923333333333334,3.363023313492064
2021-01-06,2021-01-06 20:30:00,3.63,3.3854357142857143
2021-01-06,2021-01-06 21:00:00,5.253333333333333,3.3948420329670332
2021-01-06,2021-01-06 21:30:00,4.84,3.4636750440917106
2021-01-06,2021-01-06 22:00:00,4.3,3.512829506802721
2021-01-06,2021-01-06 22:30:00,4.78,3.539973316912972
2021-01-06,2021-01-06 23:00:00,6.494999999999999,3.58130753968254
2021-01-06,2021-01-07 00:30:00,9.51,3.6752976190476185
2021-01-06,2021-01-07 01:00:00,15.17,3.857632068452381
2021-01-06,2021-01-07 01:30:00,8.04,4.200431096681097
2021-01-06,2021-01-07 02:30:00,8.555,4.313359593837535
2021-01-06,2021-01-07 03:30:00,15.14,4.434549319727892
2021-01-06,2021-01-07 04:00:00,10.03,4.731922949735449
2021-01-06,2021-01-07 06:00:00,12.97,4.875114221364222
2021-01-07,2021-01-07 07:30:00,2.5966666666666662,2.5966666666666662
2021-01-07,2021-01-07 08:00:00,2.9525,2.5966666666666662
2021-01-07,2021-01-07 08:30:00,2.546666666666667,2.774583333333333
2021-01-07,2021-01-07 09:00:00,2.196,2.698611111111111
2021-01-07,2021-01-07 09:30:00,3.2533333333333334,2.5729583333333332
2021-01-07,2021-01-07 10:00:00,3.5420000000000003,2.7090333333333336
2021-01-07,2021-01-07 10:30:00,2.6025,2.8478611111111114
2021-01-07,2021-01-07 11:30:00,4.39,2.812809523809524
2021-01-07,2021-01-07 12:00:00,4.216666666666667,3.0099583333333335
2021-01-07,2021-01-07 12:30:00,4.5200000000000005,3.144037037037037
2021-01-07,2021-01-07 13:00:00,4.3260000000000005,3.281633333333333
2021-01-07,2021-01-07 13:30:00,4.685,3.3765757575757576
2021-01-07,2021-01-07 14:00:00,3.565,3.4856111111111114
2021-01-07,2021-01-07 14:30:00,6.626666666666668,3.491717948717949
2021-01-07,2021-01-07 15:00:00,4.6739999999999995,3.715642857142857
2021-01-07,2021-01-07 15:30:00,5.566666666666666,3.779533333333333
2021-01-07,2021-01-07 16:00:00,6.1579999999999995,3.8912291666666663
2021-01-07,2021-01-07 16:30:00,7.22,4.02456862745098
2021-01-07,2021-01-07 17:00:00,4.07,4.202092592592592
2021-01-07,2021-01-07 17:30:00,5.2620000000000005,4.195140350877193
2021-01-07,2021-01-07 18:00:00,3.9066666666666667,4.248483333333334
2021-01-07,2021-01-07 18:30:00,4.746,4.232206349206349
2021-01-07,2021-01-07 19:00:00,3.8866666666666667,4.255560606060606
2021-01-07,2021-01-07 19:30:00,4.283333333333333,4.239521739130435
2021-01-07,2021-01-07 20:00:00,4.51,4.241347222222222
2021-01-07,2021-01-07 20:30:00,4.617142857142857,4.252093333333334
2021-01-07,2021-01-07 21:00:00,7.821666666666666,4.266133699633699
2021-01-07,2021-01-07 21:30:00,3.912,4.397820105820106
2021-01-07,2021-01-07 22:00:00,4.432222222222222,4.3804693877551015
2021-01-07,2021-01-07 22:30:00,4.0,4.382253968253969
2021-01-07,2021-01-07 23:30:00,4.5,4.36951216931217
2021-01-07,2021-01-08 00:30:00,5.81,4.373721454173068
2021-01-07,2021-01-08 01:00:00,6.14,4.418605158730159
2021-01-07,2021-01-08 02:00:00,7.62,4.4707686387686385
2021-01-08,2021-01-08 07:30:00,2.7,2.7
2021-01-08,2021-01-08 08:00:00,2.375,2.7
2021-01-08,2021-01-08 08:30:00,2.69,2.5375000000000005
2021-01-08,2021-01-08 09:00:00,3.28375,2.5883333333333334
2021-01-08,2021-01-08 09:30:00,2.6533333333333333,2.7621875000000005
2021-01-08,2021-01-08 10:00:00,2.41,2.740416666666667
2021-01-08,2021-01-08 10:30:00,3.4916666666666667,2.6853472222222226
2021-01-08,2021-01-08 11:00:00,2.9699999999999998,2.8005357142857146
2021-01-08,2021-01-08 11:30:00,2.948,2.82171875
2021-01-08,2021-01-08 12:00:00,2.8066666666666666,2.8357499999999995
2021-01-08,2021-01-08 12:30:00,3.37,2.8328416666666665
2021-01-08,2021-01-08 13:00:00,4.672499999999999,2.8816742424242423
2021-01-08,2021-01-08 13:30:00,5.013333333333333,3.0309097222222223
2021-01-08,2021-01-08 14:00:00,4.264,3.183403846153846
2021-01-08,2021-01-08 14:30:00,3.7659999999999996,3.2605892857142855
2021-01-08,2021-01-08 15:30:00,4.58,3.2942833333333335
2021-01-08,2021-01-08 16:00:00,5.9325,3.374640625
2021-01-08,2021-01-08 16:30:00,5.756,3.5251029411764705
2021-01-08,2021-01-08 17:00:00,6.04,3.6490416666666667
2021-01-08,2021-01-08 17:30:00,4.12,3.774881578947368
2021-01-08,2021-01-08 18:00:00,6.835,3.7921375000000004
2021-01-08,2021-01-08 18:30:00,5.56875,3.9370357142857144
2021-01-08,2021-01-08 19:00:00,6.325714285714286,4.011204545454546
2021-01-08,2021-01-08 19:30:00,4.2,4.111835403726708
2021-01-08,2021-01-08 20:00:00,2.5250000000000004,4.115508928571429
2021-01-08,2021-01-08 20:30:00,6.555,4.051888571428572
2021-01-08,2021-01-08 21:00:00,5.026666666666666,4.1481620879120875
2021-01-08,2021-01-08 21:30:00,5.312,4.180699294532628
2021-01-08,2021-01-08 22:00:00,4.8311111111111105,4.2211028911564625
2021-01-08,2021-01-08 22:30:00,7.0649999999999995,4.242137657361796
2021-01-08,2021-01-08 23:00:00,4.3,4.336233068783069
2021-01-08,2021-01-09 00:30:00,9.52,4.335064260112647
2021-01-09,2021-01-09 07:30:00,2.465,2.4650000000000003
2021-01-09,2021-01-09 08:00:00,2.81,2.4650000000000003
2021-01-09,2021-01-09 08:30:00,2.396666666666667,2.6375
2021-01-09,2021-01-09 09:00:00,3.1,2.5572222222222223
2021-01-09,2021-01-09 09:30:00,3.1999999999999997,2.692916666666667
2021-01-09,2021-01-09 10:00:00,3.6733333333333333,2.7943333333333333
2021-01-09,2021-01-09 10:30:00,2.606666666666667,2.9408333333333334
2021-01-09,2021-01-09 11:00:00,5.123333333333334,2.893095238095238
2021-01-09,2021-01-09 11:30:00,3.8766666666666665,3.1718750000000004
2021-01-09,2021-01-09 12:00:00,3.276,3.2501851851851855
2021-01-09,2021-01-09 12:30:00,4.555,3.252766666666667
2021-01-09,2021-01-09 13:00:00,4.1240000000000006,3.3711515151515146
2021-01-09,2021-01-09 13:30:00,3.1333333333333333,3.433888888888889
2021-01-09,2021-01-09 14:00:00,3.152,3.4107692307692306
2021-01-09,2021-01-09 14:30:00,4.2299999999999995,3.392285714285715
2021-01-09,2021-01-09 15:00:00,4.0633333333333335,3.4481333333333333
2021-01-09,2021-01-09 15:30:00,4.066666666666666,3.486583333333333
2021-01-09,2021-01-09 16:00:00,4.5200000000000005,3.520705882352941
2021-01-09,2021-01-09 16:30:00,3.2900000000000005,3.5762222222222224
2021-01-09,2021-01-09 17:00:00,2.85,3.5611578947368425
2021-01-09,2021-01-09 17:30:00,2.8075,3.5256
2021-01-09,2021-01-09 18:00:00,2.055,3.4914047619047617
2021-01-09,2021-01-09 19:30:00,3.2866666666666666,3.426113636363637
2021-01-09,2021-01-09 20:00:00,6.86,3.4200507246376817
2021-01-09,2021-01-09 20:30:00,8.31,3.563381944444444
2021-01-09,2021-01-09 22:00:00,8.155000000000001,3.7532466666666666
2021-01-09,2021-01-10 00:30:00,7.85,3.922544871794872
2021-01-09,2021-01-10 01:00:00,8.64,4.068006172839507
2021-01-09,2021-01-10 01:30:00,8.08,4.2312916666666665
2021-01-11,2021-01-11 07:00:00,1.645,1.645
2021-01-11,2021-01-11 07:30:00,1.5216666666666665,1.645
2021-01-11,2021-01-11 08:00:00,2.24,1.583333333333333
2021-01-11,2021-01-11 08:30:00,2.03,1.8022222222222222
2021-01-11,2021-01-11 09:00:00,1.85,1.8591666666666669
2021-01-11,2021-01-11 09:30:00,3.034,1.857333333333333
2021-01-11,2021-01-11 10:00:00,2.4966666666666666,2.0534444444444446
2021-01-11,2021-01-11 10:30:00,2.98,2.116761904761905
2021-01-11,2021-01-11 11:00:00,2.32,2.224666666666667
2021-01-11,2021-01-11 11:30:00,2.46,2.235259259259259
2021-01-11,2021-01-11 12:00:00,2.8200000000000003,2.2577333333333334
2021-01-11,2021-01-11 12:30:00,3.9074999999999998,2.308848484848485
2021-01-11,2021-01-11 13:00:00,3.046666666666667,2.4420694444444444
2021-01-11,2021-01-11 13:30:00,4.895,2.488576923076923
2021-01-11,2021-01-11 14:00:00,3.1775,2.6604642857142857
2021-01-11,2021-01-11 15:00:00,4.03,2.694933333333333
2021-01-11,2021-01-11 15:30:00,4.593333333333334,2.778375
2021-01-11,2021-01-11 16:00:00,5.760000000000001,2.8851372549019607
2021-01-11,2021-01-11 16:30:00,4.5775,3.0448518518518517
2021-01-11,2021-01-11 17:00:00,3.8725,3.125517543859649
2021-01-11,2021-01-11 17:30:00,4.183333333333334,3.162866666666667
2021-01-11,2021-01-11 18:00:00,3.4879999999999995,3.211460317460318
2021-01-11,2021-01-11 18:30:00,4.380000000000001,3.2240303030303035
2021-01-11,2021-01-11 19:00:00,4.7700000000000005,3.274289855072464
2021-01-11,2021-01-11 19:30:00,5.355,3.336611111111111
2021-01-11,2021-01-11 20:00:00,4.074999999999999,3.4173466666666665
2021-01-11,2021-01-11 20:30:00,4.3566666666666665,3.442641025641026
2021-01-11,2021-01-11 21:00:00,3.6,3.476493827160494
2021-01-11,2021-01-11 21:30:00,4.5024999999999995,3.4809047619047617
2021-01-11,2021-01-11 22:00:00,6.185714285714285,3.516132183908046
2021-01-11,2021-01-11 23:30:00,9.27,3.605118253968254
2021-01-11,2021-01-12 00:00:00,7.255,3.787856374807988
2021-01-12,2021-01-12 07:30:00,1.09,1.0899999999999999
2021-01-12,2021-01-12 08:00:00,2.59,1.0899999999999999
2021-01-12,2021-01-12 08:30:00,1.955,1.8399999999999999
2021-01-12,2021-01-12 09:00:00,2.7625,1.8783333333333336
2021-01-12,2021-01-12 09:30:00,2.435,2.0993749999999998
2021-01-12,2021-01-12 10:00:00,2.86,2.1665
2021-01-12,2021-01-12 10:30:00,4.65,2.2820833333333335
2021-01-12,2021-01-12 11:00:00,2.49,2.620357142857143
2021-01-12,2021-01-12 11:30:00,1.9,2.6040625000000004
2021-01-12,2021-01-12 12:00:00,3.3025,2.5258333333333334
2021-01-12,2021-01-12 12:30:00,2.946,2.6035
2021-01-12,2021-01-12 13:00:00,5.37,2.6346363636363637
2021-01-12,2021-01-12 13:30:00,3.3619999999999997,2.8625833333333333
2021-01-12,2021-01-12 14:00:00,2.85,2.9010000000000002
2021-01-12,2021-01-12 14:30:00,3.973333333333333,2.8973571428571425
2021-01-12,2021-01-12 15:00:00,4.375,2.969088888888889
2021-01-12,2021-01-12 15:30:00,4.865,3.056958333333333
2021-01-12,2021-01-12 16:00:00,4.104285714285714,3.163313725490196
2021-01-12,2021-01-12 16:30:00,6.786666666666666,3.215589947089947
2021-01-12,2021-01-12 17:00:00,4.8244444444444445,3.403541353383459
2021-01-12,2021-01-12 17:30:00,5.338571428571429,3.4745865079365084
2021-01-12,2021-01-12 18:00:00,2.7640000000000002,3.5633476946334093
2021-01-12,2021-01-12 18:30:00,4.67,3.5270137085137083
2021-01-12,2021-01-12 19:30:00,3.966666666666667,3.5767087646652866
2021-01-12,2021-01-12 20:00:00,2.64,3.5929570105820106
2021-01-12,2021-01-12 20:30:00,5.707142857142857,3.55483873015873
2021-01-12,2021-01-12 21:00:00,4.72,3.6376196581196583
2021-01-12,2021-01-12 21:30:00,9.540000000000001,3.6777078189300414
2021-01-12,2021-01-12 22:00:00,5.57,3.8870753968253973
2021-01-12,2021-01-12 22:30:00,6.5600000000000005,3.9451072796934867
2021-01-12,2021-01-12 23:00:00,6.14,4.03227037037037
2021-01-12,2021-01-12 23:30:00,4.76,4.10026164874552
2021-01-12,2021-01-13 00:00:00,3.89,4.1208784722222225
2021-01-12,2021-01-13 00:30:00,6.116,4.113882154882155
2021-01-12,2021-01-13 01:00:00,7.036666666666666,4.172767973856209
2021-01-12,2021-01-13 02:00:00,8.07,4.254593650793651
2021-01-12,2021-01-13 02:30:00,11.92,4.360577160493828
2021-01-12,2021-01-13 03:00:00,9.44,4.564885885885886
2021-01-13,2021-01-13 07:00:00,2.6,2.6
2021-01-13,2021-01-13 08:00:00,2.275,2.6
2021-01-13,2021-01-13 08:30:00,2.6,2.4375
2021-01-13,2021-01-13 09:00:00,2.4033333333333333,2.4916666666666667
2021-01-13,2021-01-13 09:30:00,3.335,2.4695833333333335
2021-01-13,2021-01-13 10:00:00,2.845714285714286,2.642666666666666
2021-01-13,2021-01-13 10:30:00,3.492,2.6765079365079365
2021-01-13,2021-01-13 11:00:00,2.7560000000000002,2.7930068027210884
2021-01-13,2021-01-13 11:30:00,3.278,2.788380952380953
2021-01-13,2021-01-13 12:00:00,3.65,2.842783068783069
2021-01-13,2021-01-13 12:30:00,5.1850000000000005,2.923504761904762
2021-01-13,2021-01-13 13:00:00,4.042,3.1290952380952386
2021-01-13,2021-01-13 13:30:00,4.396,3.2051706349206346
2021-01-13,2021-01-13 14:00:00,4.704,3.2967728937728937
2021-01-13,2021-01-13 14:30:00,2.35,3.3972891156462586
2021-01-13,2021-01-13 15:00:00,4.8100000000000005,3.327469841269841
2021-01-13,2021-01-13 15:30:00,5.71,3.4201279761904764
2021-01-13,2021-01-13 16:00:00,6.245,3.5548263305322125
2021-01-13,2021-01-13 16:30:00,5.043333333333333,3.704280423280423
